"id","name","abv","ibu","target_fg","target_og","ebc","srm","ph","partition_0","partition_1","partition_2","partition_3"
"203","""Bitch Please (w/ 3 Floyds)""","11.5","50","1016","1104.0","38.0","19.0","4.4","2021","02","10","07"
"293","""I Wanna Be Your Dog""","12.0","55","1035","1125.0","600.0","305.0","4.1","2021","02","10","03"
"59","""Mandarina Bavaria - IPA Is Dead""","7.2","100","1010","1064.0","12.0","6.0","4.4","2021","02","10","06"
"315","""Baltic Fleet""","7.2","45","1016","1071.0","120.0","61.0","4.2","2021","02","10","12"
"218","""Monk Hammer""","7.2","250","1010","1065.0","15.0","7.5","4.4","2021","02","10","09"
"314","""Manic Mango""","6.0","20","1010","1057.0","12.0","6.0","4.4","2021","02","10","05"
"140","""Pioneer - IPA Is Dead""","7.2","100","1010","1064.0","12.0","6.0","4.4","2021","02","10","08"
"265","""Pump Action Poet""","7.5","40","1013","1070.0","12.0","6.0","5.2","2021","02","10","09"
"47","""AB:15""","12.8","50","1020","1096.0","111.0","55.5","4.4","2021","02","10","12"
"275","""Sidewalk Shark""","5.2","22","1008","1055.0","7.0","4.0","3.8","2021","02","10","03"
"203","""Bitch Please (w/ 3 Floyds)""","11.5","50","1016","1104.0","38.0","19.0","4.4","2021","02","10","09"
"309","""Paradox Islay 2018""","13.5","100","1015","1112.0","300.0","152.0","4.4","2021","02","10","08"
"82","""Hopped-Up Brown Ale - Prototype Challenge""","6.3","85","1015","1063.0","24.0","12.0","4.2","2021","02","10","07"
"87","""Alpha Pop""","4.5","30","1011","1045.0","25.0","12.5","4.4","2021","02","10","03"
"56","""Black Eyed King Imp""","9.5","85","1022","1095.0","250.0","125.0","4.4","2021","02","10","10"
"3","""Berliner Weisse With Yuzu - B-Sides""","4.2","8","1007","1040.0","8.0","4.0","3.2","2021","02","10","13"
"306","""AB:25""","13.3","35","1020","1113.0","90.0","46.0","4.2","2021","02","10","05"
"26","""Skull Candy""","3.5","33","1012","1038.0","50.0","25.0","4.4","2021","02","10","09"
"48","""Goldings - IPA Is Dead""","6.7","70","1015","1066.0","30.0","15.0","4.4","2021","02","10","05"
"232","""Ace Of Equinox""","4.5","40","1011","1045.0","18.0","9.0","4.2","2021","02","10","09"
"202","""Dog C""","15.0","90","1003","1120.0","100.0","50.0","4.4","2021","02","10","10"
"89","""Citra""","7.5","70","1013","1068.0","30.0","15.0","4.4","2021","02","10","02"
"88","""Bavarian Weizen""","6.3","55","1012","1060.0","30.0","15.0","4.4","2021","02","10","02"
"244","""AB:21""","12.0","100","1015","1130.0","200.0","101.6","5.1","2021","02","10","04"
"93","""Mango Gose - B-Sides""","6.4","40","1000","1057.0","10.0","5.0","3.5","2021","02","10","11"
"321","""Jinx Pale Ale""","4.7","35","1008","1043.0","13.0","7.0","4.6","2021","02","10","01"
"293","""I Wanna Be Your Dog""","12.0","55","1035","1125.0","600.0","305.0","4.1","2021","02","10","06"
"24","""The End Of History""","55.0",,"1000","1112.0",,,"4.4","2021","02","10","11"
"270","""Blonde Export Stout""","7.0","55","1020","1075.0","16.0","8.0","4.4","2021","02","10","07"
"99","""Hello My Name Is Päivi""","8.3","70","1013","1076.0","30.0","15.0","4.4","2021","02","10","09"
"279","""Slot Machine""","5.2","50","1011","1051.0","50.0","25.0","4.3","2021","02","10","12"
"200","""Double IPA - Russian Doll""","8.0","85","1013","1074.0","35.0","17.5","5.2","2021","02","10","07"
"216","""Barrel Aged Hinterland""","9.0","85","1025","1094.0","400.0","200.0","4.3","2021","02","10","06"
"323","""Interstate Vienna Lager.""","5.0","25","1007","1045.0","14.0","7.0","4.2","2021","02","10","05"
"295","""Choco Libre""","9.0","25","1020","1086.0","190.0","96.0","4.2","2021","02","10","11"
"218","""Monk Hammer""","7.2","250","1010","1065.0","15.0","7.5","4.4","2021","02","10","08"
"140","""Pioneer - IPA Is Dead""","7.2","100","1010","1064.0","12.0","6.0","4.4","2021","02","10","02"
"259","""Tropic Thunder""","7.0","25","1020","1074.0","170.0","86.36","4.2","2021","02","10","12"
"120","""AB:10""","11.5","80","1020","1096.0","115.0","57.5","4.4","2021","02","10","01"
"123","""Candy Kaiser""","5.2","45","1009","1049.0","45.0","22.5","4.2","2021","02","10","07"
"94","""Everday Anarchy""","10.5","45","1005","1081.0","15.0","7.5","4.4","2021","02","10","11"
"282","""Pina Colada Sidewalk""","5.2","10","1008","1055.0","15.0","7.0","3.8","2021","02","10","05"
"282","""Pina Colada Sidewalk""","5.2","10","1008","1055.0","15.0","7.0","3.8","2021","02","10","13"
"280","""Make Earth Great Again""","7.5","35","1004","1065.0","9.0","5.0","4.6","2021","02","10","06"
"198","""AB:01""","10.2","20","1018","1095.0","16.0","8.0","4.1","2021","02","10","05"
"292","""Hello My Name Is Maria""","8.2","70","1009","1070.0","15.0","8.0","4.4","2021","02","10","04"
"139","""Born To Die""","8.5","85","1007","1072.0","15.0","7.5","4.4","2021","02","10","11"
"183","""Nuns With Guns""","4.2","25","1012","1044.0","19.0","9.5","4.4","2021","02","10","04"
"66","""Tokyo Rising Sun - Lowland""","13.2","85","1023","1125.0","140.0","71.0","4.4","2021","02","10","10"
"169","""AB:19""","13.1",,,,,,,"2021","02","10","04"
"84","""Baby Saison - B-Sides""","3.6","9","1004","1032.0","2.0","1.0","4.4","2021","02","10","05"
"13","""Movember""","4.5","50","1012","1047.0","140.0","70.0","5.2","2021","02","10","05"
"59","""Mandarina Bavaria - IPA Is Dead""","7.2","100","1010","1064.0","12.0","6.0","4.4","2021","02","10","13"
